등록번호,표찰번호,지번주소,도로명주소,경도,위도,데이터제공일자
8673,북부순환로 (LP - 8) 2,장등동 694-5,,35.210373,126.926094,2022-11-10
8674,북부순환로 (LP - 8) 1,장등동 694-4,,35.210648,126.925652,2022-11-10
8675,북부순환로 (장등교차로) (LP - 7) 27,장등동 산 170-3,,35.210907,126.925201,2022-11-10
8676,북부순환로 (장등교차로) (LP - 7) 26,장등동 산 170-3,,35.211094,126.924965,2022-11-10
8677,북부순환로 (장등교차로) (LP - 7) 24,장등동 산 170-3,,35.211185,126.924805,2022-11-10
8678,북부순환로 (장등교차로) (LP - 7) 23,장등동 산 170-3,,35.211319,126.924629,2022-11-10
8679,북부순환로 (장등교차로) (LP - 7) 24,장등동 산 170-3,,35.21125,126.924713,2022-11-10
8680,북부순환로 (장등교차로) (LP - 7) 22,장등동 산 170-3,,35.21143,126.924461,2022-11-10
8681,북부순환로 (장등교차로) (LP - 7) 21,장등동 산 170-3,,35.211548,126.924248,2022-11-10
8682,북부순환로 (장등교차로) (LP - 7) 20,장등동 산 170-3,,35.211681,126.92408,2022-11-10
8683,북부순환로 (장등교차로) (LP - 7) 19,장등동 산 170-3,,35.211838,126.923904,2022-11-10
8684,북부순환로 (장등교차로) (LP - 7) 18,장등동 산 170-3,,35.211979,126.923676,2022-11-10
8685,북부순환로 (장등교차로) (LP - 7) 17,장등동 산 170-3,,35.212177,126.923424,2022-11-10
8687,북부순환로 (장등교차로) (LP - 7) 15,장등동 산 170-3,,35.212467,126.923256,2022-11-10
8688,북부순환로 (장등교차로) (LP - 7) 14,장등동 산 170-3,,35.212673,126.923424,2022-11-10
8689,북부순환로 (장등교차로) (LP - 7) 13,장등동 산 170-3,,35.212921,126.92363,2022-11-10
8690,북부순환로 (장등교차로) (LP - 7) 12,장등동 산 170-3,,35.213135,126.923813,2022-11-10
8691,북부순환로 (장등교차로) (LP - 7) 11,장등동 1049,,35.213367,126.923981,2022-11-10
8692,북부순환로 (장등교차로) (LP - 7) 10,장등동 1049,,35.213638,126.924194,2022-11-10
8693,북부순환로 (장등교차로) (LP - 7) 9,장등동 639-2,,35.213844,126.92437,2022-11-10
8694,북부순환로 (장등교차로) (LP - 7) 8,장등동 638-2,,35.214115,126.924568,2022-11-10
8695,북부순환로 (장등교차로) (LP - 7) 1,장등동 639-2,,35.214035,126.924355,2022-11-10
8696,북부순환로 (장등교차로) (LP - 7) 2,장등동 639-2,,35.213787,126.924156,2022-11-10
8697,북부순환로 (장등교차로) (LP - 7) 3,장등동 973-1,,35.213593,126.923996,2022-11-10
8698,북부순환로 (장등교차로) (LP - 7) 4,장등동 973-1,,35.213356,126.923828,2022-11-10
8699,북부순환로 (장등교차로) (LP - 7) 5,장등동 산 170-3,,35.213123,126.923645,2022-11-10
8700,북부순환로 (장등교차로) (LP - 7) 6,장등동 1049,,35.212891,126.923447,2022-11-10
8701,북부순환로 (장등교차로) (LP - 7) 7,장등동 산 170-3,,35.212612,126.923225,2022-11-10
8702,북부순환로 (장등교차로) (LP - 7) 29,장등동 산 167-3,,35.212189,126.923058,2022-11-10
8703,북부순환로 (장등교차로) (LP - 5) 19,장등동 산 167-3,,35.212425,126.92305,2022-11-10
8704,북부순환로 (장등교차로) (LP - 5) 20,장등동 1049,,35.212349,126.923004,2022-11-10
8705,북부순환로 (장등교차로) (LP - 5) 21,장등동 1049,,35.212242,126.92289,2022-11-10
8706,북부순환로 (장등교차로) (LP - 5) 18,장등동 946-1,,35.212498,126.922844,2022-11-10
8707,북부순환로 (장등교차로) (LP - 5) 17,장등동 947-1,,35.212631,126.922531,2022-11-10
8708,북부순환로 (장등교차로) (LP - 5) 16,장등동 산 162-2,,35.212769,126.922249,2022-11-10
8709,북부순환로 (장등교차로) (LP - 5) 15,장등동 산 162-2,,35.212883,126.921928,2022-11-10
8710,북부순환로 (장등교차로) (LP - 5) 14,장등동 산 162-2,,35.213005,126.921623,2022-11-10
8711,북부순환로 (장등교차로) (LP - 5) 13,장등동 산 162-2,,35.21312,126.921303,2022-11-10
8712,북부순환로 (장등교차로) (LP - 5) 12,장등동 산 162-2,,35.213215,126.921021,2022-11-10
8713,북부순환로 (장등교차로) (LP - 5) 11,장등동 산 162-2,,35.213295,126.920715,2022-11-10
8714,북부순환로 (장등교차로) (LP - 5) 10,장등동 960,,35.213428,126.920006,2022-11-10
8715,북부순환로 (장등교차로) (LP - 5) 38,장등동 산 170-3,,35.211411,126.924248,2022-11-10
8716,북부순환로 (장등교차로) (LP - 5) 37,장등동 산 170-3,,35.211555,126.924049,2022-11-10
8717,북부순환로 (장등교차로) (LP - 5) 36,장등동 산 170-3,,35.211689,126.923828,2022-11-10
8718,북부순환로 (장등교차로) (LP - 5) 35,장등동 산 170-3,,35.211815,126.923607,2022-11-10
8719,북부순환로 (장등교차로) (LP - 5) 34,장등동 산 167-3,,35.211948,126.923355,2022-11-10
8720,북부순환로 (장등교차로) (LP - 5) 33,장등동 산 167-3,,35.212055,126.923149,2022-11-10
8721,북부순환로 (장등교차로) (LP - 5) 32,장등동 산 167-3,,35.212158,126.922974,2022-11-10
8722,북부순환로 (장등교차로) (LP - 5) 31,장등동 948-1,,35.212296,126.922722,2022-11-10
8723,북부순환로 (장등교차로) (LP - 5) 30,장등동 948-1,,35.212399,126.922508,2022-11-10
8724,북부순환로 (장등교차로) (LP - 5) 29,장등동 산 162-2,,35.212566,126.922134,2022-11-10
8725,북부순환로 (장등교차로) (LP - 5) 28,장등동 산 162-2,,35.212742,126.9217,2022-11-10
